file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\BilalModel\bilal\OOP\Ijaz\Priam\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,grabExistingToken/0,FALSE,125,3,10,8,2,1,1,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\Priam\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,getRingPosition/0,FALSE,89,7,8,4,4,2,12,7,1,4,0,12,1,2,0,0,0,0,0,1,3,0,0,0,0,1,11,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\Priam\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,claimToken/1[com.netflix.priam.identity.PriamInstance],FALSE,265,5,28,1,27,7,29,27,2,4,1,29,0,0,0,0,1,0,1,0,4,0,1,0,0,0,27,2,1,FALSE
D:\BilalModel\bilal\OOP\Ijaz\Priam\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,isTokenPregenerated/0,FALSE,84,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\Priam\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,"getReplacedIpForExistingToken/2[com.netflix.priam.identity.token.ImmutableSet<com.netflix.priam.identity.PriamInstance>,com.netflix.priam.identity.PriamInstance]",FALSE,218,5,9,1,8,6,11,28,5,2,2,11,0,0,0,1,0,0,7,0,2,1,2,0,0,0,60,2,6,FALSE
D:\BilalModel\bilal\OOP\Ijaz\Priam\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,grabNewToken/0,FALSE,150,3,4,1,3,1,3,23,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,2,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\Priam\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,"createToken/2[int,java.lang.String]",FALSE,296,5,10,1,9,3,11,12,1,2,2,11,0,0,0,0,1,0,1,0,2,0,1,0,0,0,25,2,1,FALSE
D:\BilalModel\bilal\OOP\Ijaz\Priam\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,"TokenRetriever/6[com.netflix.priam.identity.IPriamInstanceFactory,com.netflix.priam.identity.IMembership,com.netflix.priam.config.IConfiguration,com.netflix.priam.identity.config.InstanceInfo,com.netflix.priam.utils.Sleeper,com.netflix.priam.utils.ITokenManager]",TRUE,53,7,7,7,0,1,0,9,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,15,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\Priam\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,get/0,FALSE,64,2,14,11,3,4,4,13,1,0,0,4,3,1,0,3,0,0,1,0,3,0,1,0,0,0,12,1,1,FALSE
D:\BilalModel\bilal\OOP\Ijaz\Priam\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,getReplacedIp/0,FALSE,79,0,9,9,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
