file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,class,84,88,4,84,314,4,0,256,2415,0.94790405,0.21564482,0.6659619,91,8,38,47,6,0,44,0,0,0,27,9,0,27,0,0,9,0,45,1304,129,33,53,7,22,29,75,304,9,256,7,1,3,0,436,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\eclipse\testbundle\src\testbundle\Ext.java,testbundle.Ext,class,1,3,2,1,3,1,0,0,3,0,0,0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\gradle\multi-module\server\src\main\java\Server.java,Server,class,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\ChangeSignatureProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.ChangeSignatureProcessor,class,94,103,9,94,401,12,0,339,3982,0.9504106,0.13236715,0.3942029,105,6,41,59,5,0,46,0,0,0,29,11,0,29,0,0,11,0,43,2414,176,45,71,19,9,53,76,290,23,237,4,1,9,0,406,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\internal\corext\refactoring\rename\RippleMethodFinder2.java,org.eclipse.jdt.internal.corext.refactoring.rename.RippleMethodFinder2$MultiMap,innerclass,2,2,0,2,3,1,0,3,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,14,1,0,1,0,0,0,0,3,0,2,1,0,0,0,10,10,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corrections\QuickFixProcessor.java,org.eclipse.jdt.ls.core.internal.corrections.QuickFixProcessor,class,21,23,2,21,152,1,0,80,10,0,0,0,5,2,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,50,307,9,3,8,1,0,2,8,12,3,13,3,0,0,1,59,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\handlers\PostfixCompletionTest.java,org.eclipse.jdt.ls.core.internal.handlers.PostfixCompletionTest,class,17,18,1,17,27,2,0,54,323,0.9423077,0.004761905,0.004761905,26,0,21,5,0,0,21,0,0,0,2,1,0,2,0,0,0,0,3,239,3,0,0,0,0,211,88,87,20,90,0,0,0,3,122,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\handlers\RenameHandlerTest.java,org.eclipse.jdt.ls.core.internal.handlers.RenameHandlerTest,class,28,29,1,28,28,2,0,64,0,0.6111111,0.82251084,0.82251084,24,0,22,2,0,0,22,0,0,0,3,0,0,3,0,0,0,0,28,361,4,1,0,0,0,443,34,189,24,182,2,0,0,0,145,1,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\reorg\JavaMoveProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.reorg.JavaMoveProcessor,class,32,34,2,32,55,2,0,59,0,0.7368421,0.6936508,0.7873016,38,0,35,2,1,0,36,0,0,0,4,0,0,4,0,0,0,0,11,210,32,1,10,3,0,2,2,26,0,22,3,1,0,0,136,17,0
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\managers\InvisibleProjectPreferenceChangeListenerTest.java,org.eclipse.jdt.ls.core.internal.managers.InvisibleProjectPreferenceChangeListenerTest,class,26,27,1,26,27,3,0,62,47,0.77272725,0.035714287,0.035714287,11,0,8,3,0,0,8,0,0,0,2,0,0,2,0,0,0,0,8,171,1,8,7,0,0,41,12,42,0,41,2,0,0,0,105,1,0
