file,class,method,variable,usage
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\facet_basics\src\main\java\org\intellij\sdk\facet\DemoFacet.java,org.intellij.sdk.facet.DemoFacet,"DemoFacet/5[org.intellij.sdk.facet.FacetType,java.lang.Module,java.lang.String,org.intellij.sdk.facet.DemoFacetConfiguration,org.intellij.sdk.facet.Facet]",facetType,1
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\facet_basics\src\main\java\org\intellij\sdk\facet\DemoFacet.java,org.intellij.sdk.facet.DemoFacet,"DemoFacet/5[org.intellij.sdk.facet.FacetType,java.lang.Module,java.lang.String,org.intellij.sdk.facet.DemoFacetConfiguration,org.intellij.sdk.facet.Facet]",underlyingFacet,1
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\facet_basics\src\main\java\org\intellij\sdk\facet\DemoFacet.java,org.intellij.sdk.facet.DemoFacet,"DemoFacet/5[org.intellij.sdk.facet.FacetType,java.lang.Module,java.lang.String,org.intellij.sdk.facet.DemoFacetConfiguration,org.intellij.sdk.facet.Facet]",configuration,1
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\facet_basics\src\main\java\org\intellij\sdk\facet\DemoFacet.java,org.intellij.sdk.facet.DemoFacet,"DemoFacet/5[org.intellij.sdk.facet.FacetType,java.lang.Module,java.lang.String,org.intellij.sdk.facet.DemoFacetConfiguration,org.intellij.sdk.facet.Facet]",module,1
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\facet_basics\src\main\java\org\intellij\sdk\facet\DemoFacet.java,org.intellij.sdk.facet.DemoFacet,"DemoFacet/5[org.intellij.sdk.facet.FacetType,java.lang.Module,java.lang.String,org.intellij.sdk.facet.DemoFacetConfiguration,org.intellij.sdk.facet.Facet]",name,1
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\settings\src\main\java\org\intellij\sdk\settings\AppSettingsState.java,org.intellij.sdk.settings.AppSettingsState,loadState/1[org.intellij.sdk.settings.AppSettingsState],state,1
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\action_basics\src\main\java\org\intellij\sdk\action\CustomDefaultActionGroup.java,org.intellij.sdk.action.CustomDefaultActionGroup,update/1[org.intellij.sdk.action.AnActionEvent],editor,1
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\action_basics\src\main\java\org\intellij\sdk\action\CustomDefaultActionGroup.java,org.intellij.sdk.action.CustomDefaultActionGroup,update/1[org.intellij.sdk.action.AnActionEvent],event,3
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\run_configuration\src\main\java\org\jetbrains\sdk\runConfiguration\DemoRunConfiguration.java,org.jetbrains.sdk.runConfiguration.DemoRunConfiguration,setScriptName/1[java.lang.String],scriptName,1
D:\BilalModel\bilal\OOP\Ijaz\intellij-sdk-docs\code_samples\run_configuration\src\main\java\org\jetbrains\sdk\runConfiguration\DemoRunConfiguration.java,org.jetbrains.sdk.runConfiguration.DemoRunConfiguration,"DemoRunConfiguration/3[org.jetbrains.sdk.runConfiguration.Project,org.jetbrains.sdk.runConfiguration.ConfigurationFactory,java.lang.String]",factory,1
