file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,innerclass,2,2,0,2,7,1,0,4,0,0.083333336,1,1,2,0,1,0,0,1,2,0,0,0,6,0,0,6,0,0,5,0,0,45,0,3,0,0,0,0,16,25,17,14,2,0,0,0,33,2,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream,class,12,15,3,12,14,6,0,12,0,0.41666666,1,1,4,0,3,0,0,1,4,0,0,0,3,0,0,3,0,0,3,0,1,173,4,0,2,1,0,2,3,11,0,7,4,0,6,0,46,1,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSTaggerMETest.java,opennlp.tools.postag.POSTaggerMETest,class,15,19,4,15,5,1,0,10,10,0,0,0,5,2,1,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,41,2,0,0,0,0,16,12,9,0,9,1,0,0,1,51,1,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\eval\OntoNotes4ParserEval.java,opennlp.tools.eval.OntoNotes4ParserEval,class,17,18,1,17,5,2,0,15,6,0,0,0,4,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5,34,3,0,0,2,0,9,7,6,0,7,2,0,0,1,52,1,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\util\model\BaseModel.java,opennlp.tools.util.model.BaseModel,class,13,24,11,13,73,1,5,76,235,0.8981481,0.2,0.5714286,30,1,8,9,13,0,21,0,7,0,18,11,3,11,4,0,11,0,22,307,10,6,19,10,3,51,3,69,16,57,3,0,0,0,228,1025,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\cmdline\parser\CheckModelUpdaterTool.java,opennlp.tools.cmdline.parser.CheckModelUpdaterTool,class,11,13,2,11,2,5,0,10,1,0.5,0,0,2,0,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,1,16,2,0,0,0,0,2,1,5,0,5,0,0,0,0,35,17,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSModelTest.java,opennlp.tools.postag.POSModelTest,class,3,3,0,3,2,1,0,8,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,2,0,0,0,6,0,6,1,0,0,0,20,1,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-uima\src\main\java\opennlp\uima\normalizer\Normalizer.java,opennlp.uima.normalizer.Normalizer,class,14,14,0,14,23,2,0,34,0,0.5416667,0.3,0.3,4,0,4,0,0,0,5,0,0,0,6,1,0,6,0,0,1,0,7,99,0,1,3,2,0,6,0,16,2,15,4,0,0,0,137,1,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\model\Event.java,opennlp.tools.ml.model.Event,class,1,32,31,1,10,1,0,5,0,0.38888893,0.73333335,1,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,3,0,2,40,4,1,2,0,0,7,4,5,0,5,2,0,0,0,34,1,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\lemmatizer\LemmatizerEvaluatorTest.java,opennlp.tools.lemmatizer.LemmatizerEvaluatorTest,class,9,9,0,9,1,1,0,7,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,17,0,0,0,0,0,2,3,10,0,10,0,0,0,0,64,1,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\namefind\RegexNameFinderFactory.java,opennlp.tools.namefind.RegexNameFinderFactory$DEFAULT_REGEX_NAME_FINDER,enum,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,5,0,0,29,1,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\cmdline\postag\POSTaggerConverterTool.java,opennlp.tools.cmdline.postag.POSTaggerConverterTool,class,3,4,1,3,1,4,0,0,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\ad\ADTokenSampleStreamFactory.java,opennlp.tools.formats.ad.ADTokenSampleStreamFactory$Parameters,interface,2,2,0,2,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream$EventAnnotationParser,innerclass,5,5,0,5,4,2,0,5,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,19,1,1,2,0,0,4,7,6,1,6,2,0,0,0,36,8,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\cmdline\chunker\ChunkerEvaluatorTool.java,opennlp.tools.cmdline.chunker.ChunkerEvaluatorTool,class,20,22,2,20,7,5,0,16,3,0.6666667,0,0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,52,1,0,1,1,0,3,2,8,1,7,1,1,1,0,56,17,2
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\ad\ADChunkSampleStreamFactory.java,opennlp.tools.formats.ad.ADChunkSampleStreamFactory,class,13,15,2,13,8,3,0,11,3,0,0,0,3,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4,35,1,0,2,1,0,1,2,6,0,4,1,0,1,0,39,1,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\irishsentencebank\IrishSentenceBankSentenceStreamFactory.java,opennlp.tools.formats.irishsentencebank.IrishSentenceBankSentenceStreamFactory$Parameters,interface,1,1,0,1,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\cmdline\BasicCmdLineTool.java,opennlp.tools.cmdline.BasicCmdLineTool,class,2,22,20,2,1,2,18,0,0,0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1025,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\cmdline\AbstractCrossValidatorTool.java,opennlp.tools.cmdline.AbstractCrossValidatorTool,class,3,10,7,3,1,6,0,0,0,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1025,0
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\parser\ParserModel.java,opennlp.tools.parser.ParserModel,class,14,21,7,14,39,2,0,26,179,0.85227275,0.11255411,0.3939394,22,0,20,0,2,0,22,0,0,0,8,8,0,8,0,0,8,0,3,145,15,0,6,0,6,25,2,12,2,12,3,0,1,0,121,1,0
