file,class,method,variable,usage
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,"UpdateInfo/2[int,int]",S,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,"UpdateInfo/2[int,int]",alpha,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,"UpdateInfo/2[int,int]",rho,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,"UpdateInfo/2[int,int]",Y,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,"UpdateInfo/2[int,int]",kCounter,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,"UpdateInfo/2[int,int]",m,5
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,update/1[opennlp.tools.ml.maxent.quasinewton.LineSearch.LineSearchResult],S,6
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,update/1[opennlp.tools.ml.maxent.quasinewton.LineSearch.LineSearchResult],rho,4
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,update/1[opennlp.tools.ml.maxent.quasinewton.LineSearch.LineSearchResult],Y,6
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,update/1[opennlp.tools.ml.maxent.quasinewton.LineSearch.LineSearchResult],kCounter,8
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,update/1[opennlp.tools.ml.maxent.quasinewton.LineSearch.LineSearchResult],m,8
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream,close/0,reader,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream,"BratAnnotationStream/3[opennlp.tools.formats.brat.AnnotationConfiguration,java.lang.String,java.io.InputStream]",reader,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream,"BratAnnotationStream/3[opennlp.tools.formats.brat.AnnotationConfiguration,java.lang.String,java.io.InputStream]",id,3
