file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,"UpdateInfo/2[int,int]",TRUE,428,1,1,1,0,1,0,8,0,0,2,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,9,0,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,update/1[opennlp.tools.ml.maxent.quasinewton.LineSearch.LineSearchResult],FALSE,437,2,5,1,4,6,4,29,0,8,1,4,0,0,3,0,0,0,0,15,19,17,2,0,0,0,20,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream,close/0,FALSE,282,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream,"BratAnnotationStream/3[opennlp.tools.formats.brat.AnnotationConfiguration,java.lang.String,java.io.InputStream]",TRUE,215,1,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream,reset/0,FALSE,278,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream,read/0,FALSE,222,10,8,1,7,11,10,44,4,4,0,10,1,0,0,2,1,0,2,3,8,0,4,0,0,0,28,1,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSTaggerMETest.java,opennlp.tools.postag.POSTaggerMETest,createSampleStream/0,FALSE,40,7,3,2,1,1,0,4,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,20,10,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSTaggerMETest.java,opennlp.tools.postag.POSTaggerMETest,insufficientTestData/0,FALSE,92,10,0,0,0,1,4,12,0,3,0,4,0,0,0,0,0,0,2,2,3,0,1,0,0,1,27,0,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSTaggerMETest.java,opennlp.tools.postag.POSTaggerMETest,trainPOSModel/1[opennlp.tools.postag.ModelType],FALSE,52,5,6,5,1,1,4,7,1,1,1,4,1,1,0,0,0,0,1,2,1,0,0,0,0,0,20,9,0,TRUE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSTaggerMETest.java,opennlp.tools.postag.POSTaggerMETest,testPOSTagger/0,FALSE,63,5,1,0,1,1,3,12,0,3,0,3,1,2,0,0,0,0,12,7,3,0,0,0,0,0,14,0,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSTaggerMETest.java,opennlp.tools.postag.POSTaggerMETest,testBuildNGramDictionary/0,FALSE,86,3,1,0,1,1,2,4,0,1,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,12,0,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\eval\OntoNotes4ParserEval.java,opennlp.tools.eval.OntoNotes4ParserEval,verifyTrainingData/0,FALSE,73,3,2,0,2,1,2,3,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,10,8,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\eval\OntoNotes4ParserEval.java,opennlp.tools.eval.OntoNotes4ParserEval,createParseSampleStream/0,FALSE,46,7,3,2,1,2,5,10,3,2,0,5,0,0,0,0,0,0,2,0,1,0,2,0,0,1,22,10,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\eval\OntoNotes4ParserEval.java,opennlp.tools.eval.OntoNotes4ParserEval,"crossEval/3[opennlp.tools.util.TrainingParameters,opennlp.tools.parser.HeadRules,double]",FALSE,63,7,6,1,5,1,5,7,0,2,3,5,1,1,0,0,1,0,1,2,2,0,1,0,0,0,18,2,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\eval\OntoNotes4ParserEval.java,opennlp.tools.eval.OntoNotes4ParserEval,evalEnglishMaxent/0,FALSE,78,7,4,0,4,1,4,12,0,3,0,4,1,2,0,0,1,0,5,5,3,0,1,0,0,0,21,0,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\util\model\BaseModel.java,opennlp.tools.util.model.BaseModel,validateArtifactMap/0,FALSE,437,5,11,1,10,16,10,41,0,3,0,10,1,1,0,8,2,1,24,2,3,10,3,0,0,0,79,4,0,TRUE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\util\model\BaseModel.java,opennlp.tools.util.model.BaseModel,"BaseModel/2[java.lang.String,java.io.InputStream]",TRUE,166,1,1,0,1,1,1,4,0,0,2,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,34,4,0,TRUE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\util\model\BaseModel.java,opennlp.tools.util.model.BaseModel,writeObject/1[java.io.ObjectOutputStream],FALSE,676,1,1,0,1,1,2,4,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,FALSE
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\util\model\BaseModel.java,opennlp.tools.util.model.BaseModel,getVersion/0,FALSE,558,2,4,2,2,1,2,4,1,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,25,17,0,TRUE
