file,class,method,variable,usage
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,"UpdateInfo/2[int,int]",numCorrection,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,"UpdateInfo/2[int,int]",dimension,2
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,update/1[opennlp.tools.ml.maxent.quasinewton.LineSearch.LineSearchResult],currPoint,2
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,update/1[opennlp.tools.ml.maxent.quasinewton.LineSearch.LineSearchResult],SYk,4
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,update/1[opennlp.tools.ml.maxent.quasinewton.LineSearch.LineSearchResult],gradAtCurr,2
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,update/1[opennlp.tools.ml.maxent.quasinewton.LineSearch.LineSearchResult],i,8
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,update/1[opennlp.tools.ml.maxent.quasinewton.LineSearch.LineSearchResult],lsr,4
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,update/1[opennlp.tools.ml.maxent.quasinewton.LineSearch.LineSearchResult],nextPoint,2
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,update/1[opennlp.tools.ml.maxent.quasinewton.LineSearch.LineSearchResult],j,21
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNMinimizer.java,opennlp.tools.ml.maxent.quasinewton.QNMinimizer$UpdateInfo,update/1[opennlp.tools.ml.maxent.quasinewton.LineSearch.LineSearchResult],gradAtNext,2
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream,"BratAnnotationStream/3[opennlp.tools.formats.brat.AnnotationConfiguration,java.lang.String,java.io.InputStream]",in,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream,"BratAnnotationStream/3[opennlp.tools.formats.brat.AnnotationConfiguration,java.lang.String,java.io.InputStream]",id,2
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream,"BratAnnotationStream/3[opennlp.tools.formats.brat.AnnotationConfiguration,java.lang.String,java.io.InputStream]",config,2
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream,read/0,parser,6
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream,read/0,e,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream,read/0,line,5
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream,read/0,annId,2
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratAnnotationStream.java,opennlp.tools.formats.brat.BratAnnotationStream,read/0,tokens,4
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSTaggerMETest.java,opennlp.tools.postag.POSTaggerMETest,createSampleStream/0,in,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSTaggerMETest.java,opennlp.tools.postag.POSTaggerMETest,insufficientTestData/0,in,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSTaggerMETest.java,opennlp.tools.postag.POSTaggerMETest,insufficientTestData/0,stream,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSTaggerMETest.java,opennlp.tools.postag.POSTaggerMETest,insufficientTestData/0,params,4
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSTaggerMETest.java,opennlp.tools.postag.POSTaggerMETest,trainPOSModel/1[opennlp.tools.postag.ModelType],type,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSTaggerMETest.java,opennlp.tools.postag.POSTaggerMETest,trainPOSModel/1[opennlp.tools.postag.ModelType],params,4
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSTaggerMETest.java,opennlp.tools.postag.POSTaggerMETest,testPOSTagger/0,posModel,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSTaggerMETest.java,opennlp.tools.postag.POSTaggerMETest,testPOSTagger/0,tagger,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSTaggerMETest.java,opennlp.tools.postag.POSTaggerMETest,testPOSTagger/0,tags,7
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\postag\POSTaggerMETest.java,opennlp.tools.postag.POSTaggerMETest,testBuildNGramDictionary/0,samples,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\eval\OntoNotes4ParserEval.java,opennlp.tools.eval.OntoNotes4ParserEval,createParseSampleStream/0,file,3
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\eval\OntoNotes4ParserEval.java,opennlp.tools.eval.OntoNotes4ParserEval,createParseSampleStream/0,documentStream,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\eval\OntoNotes4ParserEval.java,opennlp.tools.eval.OntoNotes4ParserEval,"crossEval/3[opennlp.tools.util.TrainingParameters,opennlp.tools.parser.HeadRules,double]",expectedScore,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\eval\OntoNotes4ParserEval.java,opennlp.tools.eval.OntoNotes4ParserEval,"crossEval/3[opennlp.tools.util.TrainingParameters,opennlp.tools.parser.HeadRules,double]",cv,2
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\eval\OntoNotes4ParserEval.java,opennlp.tools.eval.OntoNotes4ParserEval,"crossEval/3[opennlp.tools.util.TrainingParameters,opennlp.tools.parser.HeadRules,double]",rules,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\eval\OntoNotes4ParserEval.java,opennlp.tools.eval.OntoNotes4ParserEval,"crossEval/3[opennlp.tools.util.TrainingParameters,opennlp.tools.parser.HeadRules,double]",params,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\eval\OntoNotes4ParserEval.java,opennlp.tools.eval.OntoNotes4ParserEval,"crossEval/3[opennlp.tools.util.TrainingParameters,opennlp.tools.parser.HeadRules,double]",samples,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\eval\OntoNotes4ParserEval.java,opennlp.tools.eval.OntoNotes4ParserEval,evalEnglishMaxent/0,headRulesIn,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\eval\OntoNotes4ParserEval.java,opennlp.tools.eval.OntoNotes4ParserEval,evalEnglishMaxent/0,headRules,2
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\test\java\opennlp\tools\eval\OntoNotes4ParserEval.java,opennlp.tools.eval.OntoNotes4ParserEval,evalEnglishMaxent/0,params,5
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\util\model\BaseModel.java,opennlp.tools.util.model.BaseModel,validateArtifactMap/0,versionString,3
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\util\model\BaseModel.java,opennlp.tools.util.model.BaseModel,validateArtifactMap/0,e,3
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\util\model\BaseModel.java,opennlp.tools.util.model.BaseModel,validateArtifactMap/0,factoryName,4
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\util\model\BaseModel.java,opennlp.tools.util.model.BaseModel,validateArtifactMap/0,version,6
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\util\model\BaseModel.java,opennlp.tools.util.model.BaseModel,"BaseModel/2[java.lang.String,java.io.InputStream]",in,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\util\model\BaseModel.java,opennlp.tools.util.model.BaseModel,"BaseModel/2[java.lang.String,java.io.InputStream]",componentName,1
D:\BilalModel\bilal\OOP\Ijaz\opennlp\opennlp-tools\src\main\java\opennlp\tools\util\model\BaseModel.java,opennlp.tools.util.model.BaseModel,writeObject/1[java.io.ObjectOutputStream],out,2
